report_id,ioc_type,value_defanged,verdict,confidence,first_seen,source,mitre,notes
NF-2026-001,internal_ip,10.2.28[.]88,compromised,high,2026-02-28,PCAP endpoint analysis,T1071.001,Primary internal host generating repeated C2 beacon traffic
NF-2026-001,ip,45.131.214[.]85,malicious,high,2026-02-28,HTTP POST traffic,T1071.001,External C2 destination contacted repeatedly
NF-2026-001,url,hxxp://45.131.214[.]85/fakeurl.htm,malicious,high,2026-02-28,HTTP request URI,T1071.001,Repeated HTTP POST C2 endpoint
NF-2026-001,user_agent,NetSupport Manager/1.3,suspicious,high,2026-02-28,HTTP header,T1219,Remote access software User Agent observed in repeated traffic
NF-2026-001,uri,/fakeurl.htm,suspicious,high,2026-02-28,HTTP POST URI,T1071.001,Repeated suspicious URI used for C2 polling
